date,open,high,low,close,volume
2023-11-07,9560,9560,8700,9150,75661
2023-11-08,9140,9200,9080,9180,15047
2023-11-09,9180,9180,9060,9140,6976
2023-11-10,9140,9140,8700,8890,32770
2023-11-13,8910,8910,8590,8650,28326
2023-11-14,8560,8750,8560,8620,17994
2023-11-15,8630,8830,8610,8790,19283
2023-11-16,8870,8870,8700,8800,14626
2023-11-17,8800,8840,8710,8810,6707
2023-11-20,8730,11450,8690,11450,2284794
2023-11-21,11900,12450,11380,11730,2582704
2023-11-22,12050,13250,11800,12190,2572849
2023-11-23,12190,12610,12100,12260,572416
2023-11-24,12380,12730,11820,12490,596946
2023-11-27,12740,13350,12350,12790,630880
2023-11-28,12790,13000,11850,12060,370423
2023-11-29,12310,12720,12060,12450,335511
2023-11-30,12550,12840,12230,12740,257754
2023-12-01,12670,12880,12320,12760,200066
2023-12-04,12870,13050,12500,12730,228795
2023-12-05,12560,13810,11470,11650,1435702
2023-12-06,11630,11970,11350,11630,287253
2023-12-07,11600,11610,10550,10590,343052
2023-12-08,10670,11480,10670,11310,256158
2023-12-11,11310,11310,10820,11080,228689
2023-12-12,11080,11080,10590,10930,111257
2023-12-13,10930,11280,10600,10850,117898
2023-12-14,10910,11000,10390,10590,93514
2023-12-15,10650,10920,10430,10920,145020
2023-12-18,11020,11220,10870,10980,98506
2023-12-19,10990,10990,10700,10960,73763
2023-12-20,10990,11020,10800,10800,67502
2023-12-21,10800,11050,10550,10670,104964
2023-12-22,10710,10710,10130,10490,121388
2023-12-26,10690,11230,10650,10800,182538
2023-12-27,10500,10660,10380,10500,103489
2023-12-28,10520,10800,10440,10800,61481
2024-01-02,10900,11240,10870,11230,92532
2024-01-03,11070,11340,10920,11340,86470
2024-01-04,11350,11450,10920,11100,104936
2024-01-05,11030,11380,10930,11240,72197
2024-01-08,11450,11470,11130,11340,57005
2024-01-09,11400,11470,10850,11360,56845
2024-01-10,11360,11530,11170,11420,83259
2024-01-11,11400,11580,11210,11450,91805
2024-01-12,11450,11450,11150,11230,62231
2024-01-15,11230,11380,11100,11340,70614
2024-01-16,11260,11260,10780,11000,66466
2024-01-17,10980,10980,10540,10590,52191
2024-01-18,10550,10990,10490,10990,60989
2024-01-19,11150,11210,10910,11000,42741
2024-01-22,11000,11000,10240,10240,134316
2024-01-23,10250,10340,10060,10260,55037
2024-01-24,10300,10650,10090,10430,52270
2024-01-25,10430,10430,10080,10140,51411
2024-01-26,10160,10230,10050,10180,37133
2024-01-29,10120,10170,10010,10100,44433
2024-01-30,10100,10130,9770,9820,42217
2024-01-31,9590,9820,9490,9660,62021
2024-02-01,9800,9810,9330,9660,47527
2024-02-02,9660,9800,9560,9650,43568
2024-02-05,9650,9690,9500,9650,19367
2024-02-06,9530,9670,9420,9600,32696
2024-02-07,9600,9650,9410,9570,31432
2024-02-08,9480,9670,9140,9160,148209
2024-02-13,9160,9480,9160,9440,39814
2024-02-14,9250,9580,9240,9570,26363
2024-02-15,9640,9650,9480,9550,21454
2024-02-16,9550,9630,9470,9540,28256
2024-02-19,9540,9630,9310,9420,96515
2024-02-20,9420,9450,9320,9430,18597
2024-02-21,9430,9430,9150,9410,49610
2024-02-22,9360,9380,9260,9280,20460
2024-02-23,9190,9280,9000,9100,45141
2024-02-26,9050,9200,9000,9120,17823
2024-02-27,9120,9170,8660,8840,150898
2024-02-28,8740,8930,8740,8840,21613
2024-02-29,8840,8840,8520,8590,124743
2024-03-04,8590,8670,8200,8240,112189
2024-03-05,8300,8300,8000,8120,93384
2024-03-06,8050,8180,7430,7510,354797
2024-03-07,7570,8320,7520,7900,503672
2024-03-08,7830,7980,7730,7950,95921
2024-03-11,7950,8100,7720,7870,159397
2024-03-12,7860,7910,7700,7800,46758
2024-03-13,7880,7970,7680,7790,92853
2024-03-14,7740,8000,7670,7940,100516
2024-03-15,7870,8190,7760,8190,111093
2024-03-18,8190,8300,7870,8050,135234
2024-03-19,7930,8150,7930,8080,36066
2024-03-20,7990,8140,7980,8000,26119
2024-03-21,8000,8150,7940,8060,27512
2024-03-22,8100,8100,7870,7900,52186
2024-03-25,7900,7950,7540,7600,141088
2024-03-26,7600,7750,7550,7660,38601
2024-03-27,7640,7990,7640,7760,44253
2024-03-28,7760,7880,7650,7700,34667
2024-03-29,7700,7820,7480,7580,70297
2024-04-01,7580,7810,7520,7800,34838
2024-04-02,7800,7820,7570,7590,33242
2024-04-03,7510,7680,7470,7680,27580
2024-04-04,7680,7690,7470,7510,47442
2024-04-05,7470,7640,7410,7460,58935
2024-04-08,7460,7510,7100,7140,76694
2024-04-09,7110,7270,7090,7090,34611
2024-04-11,6990,7090,6860,7030,48869
2024-04-12,7030,7070,6800,6850,36621
2024-04-15,6760,7450,6700,6870,89385
2024-04-16,6800,6980,6700,6820,44212
2024-04-17,6820,7130,6820,7000,42335
2024-04-18,7070,7150,7000,7080,13769
2024-04-19,7120,7120,6830,6900,41124
2024-04-22,6900,8010,6900,6960,743458
2024-04-23,6890,7000,6770,6830,84144
2024-04-24,6830,6920,6740,6910,57793
2024-04-25,6910,6940,6750,6750,52321
2024-04-26,6770,6810,6500,6540,114694
2024-04-29,6540,6740,6540,6710,46264
2024-04-30,6770,6810,6650,6800,29730
2024-05-02,6800,6970,6760,6950,54123
2024-05-03,6990,7070,6900,7000,70085
2024-05-07,7070,7180,6910,7050,34528
2024-05-08,7020,7090,6990,7030,29659
2024-05-09,7110,7110,6940,7000,12163
2024-05-10,7040,7040,6900,7010,24586
2024-05-13,7010,7140,7000,7010,23106
2024-05-14,7050,7120,7000,7030,46863
2024-05-16,7090,7090,6950,7000,22865
2024-05-17,7010,7050,6960,7000,20363
2024-05-20,7000,7010,6780,6840,29759
2024-05-21,6800,6880,6620,6620,42070
2024-05-22,6540,6920,6450,6850,92203
2024-05-23,6840,8050,6810,7160,1662407
2024-05-24,7080,7220,6950,6970,85956
2024-05-27,6930,7010,6770,6840,67322
2024-05-28,6780,6920,6720,6740,39551
2024-05-29,6750,6750,6580,6580,44038
2024-05-30,6580,6640,6490,6500,29592
2024-05-31,6550,7760,6500,6740,872357
2024-06-03,6750,6860,6660,6840,49213
2024-06-04,6850,6930,6750,6760,37140
2024-06-05,6800,6820,6670,6670,28987
2024-06-07,6630,6760,6610,6670,27457
2024-06-10,6740,6750,6620,6690,16992
2024-06-11,6630,6980,6630,6800,50846
2024-06-12,6880,6930,6790,6850,22334
2024-06-13,6850,7080,6820,7000,37291
2024-06-14,7010,7060,6590,6600,76407
2024-06-17,6610,6650,6550,6610,29105
2024-06-18,6580,6600,6000,6210,166696
2024-06-19,6210,6270,6020,6180,35587
2024-06-20,6150,6260,6100,6240,19711
2024-06-21,6240,6280,6070,6080,26292
2024-06-24,6200,6200,5950,5980,27470
2024-06-25,5950,6130,5930,6130,26392
2024-06-26,6040,6190,6040,6150,19040
2024-06-27,6110,6210,5950,5950,20541
2024-06-28,5950,6110,5930,6110,9998
2024-07-01,6070,6230,6070,6190,17043
2024-07-02,6130,6250,6070,6250,30020
2024-07-03,6240,6300,6050,6100,28980
2024-07-04,6020,6210,6020,6120,10273
2024-07-05,6060,6320,6060,6240,33243
2024-07-08,6250,6410,6190,6380,27351
2024-07-09,6330,6520,6330,6440,30824
2024-07-10,6490,6490,6320,6360,13294
2024-07-11,6330,6550,6330,6350,27809
2024-07-12,6350,6390,6220,6300,21639
2024-07-15,6280,6330,6200,6320,13692
2024-07-16,6300,6300,6180,6230,12998
2024-07-17,6230,7320,6090,6090,1162552
2024-07-18,6020,6090,5850,5980,63602
2024-07-19,5950,6000,5800,5840,43763
2024-07-22,5790,5900,5720,5840,31377
2024-07-23,5820,5930,5700,5710,52393
2024-07-24,5810,5850,5640,5660,33528
2024-07-25,5570,5660,5530,5630,11596
2024-07-26,5630,5660,5530,5570,20201
2024-07-29,5580,5740,5570,5720,14019
2024-07-30,5690,5750,5530,5570,18924
2024-07-31,5620,6080,5410,5500,97838
2024-08-01,5530,5570,5310,5420,74380
2024-08-02,5430,5430,5060,5100,105563
2024-08-05,5100,5100,4230,4325,149120
2024-08-06,4370,4665,4370,4610,45897
2024-08-07,4610,4810,4605,4740,25639
2024-08-08,4660,4815,4500,4695,14330
2024-08-09,4605,4855,4605,4840,28937
2024-08-12,4840,4950,4795,4850,34161
2024-08-13,4785,4840,4725,4750,17941
2024-08-14,4810,4900,4760,4850,25701
2024-08-16,4990,4990,4800,4860,18624
2024-08-19,4865,4950,4800,4865,17387
2024-08-20,4835,5030,4835,5020,21333
2024-08-21,5020,5040,4915,4960,11829
2024-08-22,4960,5080,4925,5060,21821
2024-08-23,4935,5030,4825,4860,57249
2024-08-26,4860,4950,4855,4945,12153
2024-08-27,4915,5020,4880,4950,8533
2024-08-28,4900,4995,4900,4945,6555
2024-08-29,4940,4990,4840,4985,10380
2024-08-30,4985,5030,4950,4975,9362
2024-09-02,4980,5040,4830,4880,9373
2024-09-03,4840,5010,4840,4950,17275
2024-09-04,4810,4935,4710,4785,24031
2024-09-05,4785,4885,4650,4770,13232
2024-09-06,4765,4765,4550,4610,21514
2024-09-09,4500,4670,4455,4670,12035
2024-09-10,4575,4670,4575,4595,4686
2024-09-11,4595,4695,4510,4695,9571
2024-09-12,4695,4790,4690,4775,9899
2024-09-13,4840,4840,4750,4790,6375
2024-09-19,4790,4815,4730,4755,8508
2024-09-20,4655,4775,4655,4755,14719
2024-09-23,4710,4890,4710,4775,13192
2024-09-24,4820,4960,4775,4910,17392
2024-09-25,4935,5020,4900,4955,22606
2024-09-26,4955,5050,4950,4995,15276
2024-09-27,4995,5090,4855,5030,14875
2024-09-30,5030,5060,4880,5030,13527
2024-10-02,5030,5030,4885,5000,7709
2024-10-04,5000,5140,4940,4940,23437
2024-10-07,4940,5050,4850,4960,18782
2024-10-08,4995,5140,4985,5110,23457
2024-10-10,5080,5150,5060,5100,8785
2024-10-11,5100,5130,4925,4975,24246
2024-10-14,4925,4990,4890,4950,8764
2024-10-15,4945,5040,4940,4990,14545
2024-10-16,4990,5020,4930,4930,7868
2024-10-17,4905,4980,4565,4650,50008
2024-10-18,4665,4700,4560,4615,23316
2024-10-21,4615,4710,4590,4645,15945
2024-10-22,4650,4690,4545,4580,19153
2024-10-23,4580,4645,4510,4575,13417
2024-10-24,4475,4625,4460,4625,27439
2024-10-25,4620,4625,4490,4625,13585
2024-10-28,4625,4640,4505,4600,12322
2024-10-29,4650,4660,4520,4660,12217
2024-10-30,4615,4760,4595,4720,18860
2024-10-31,4720,4745,4615,4685,8057
2024-11-01,4685,4690,4580,4690,9956
2024-11-04,4645,4730,4570,4730,9509
2024-11-05,4780,4820,4735,4770,15020
2024-11-06,4765,4830,4755,4810,7593
2024-11-07,4810,4900,4780,4850,14045
2024-11-08,4800,4875,4740,4790,7829
2024-11-11,4745,4800,4585,4615,14591
2024-11-12,4570,4610,4255,4345,74623
2024-11-13,4260,4315,4115,4235,39302
2024-11-14,4120,4260,4050,4145,31039
2024-11-15,4105,4150,3980,4040,32246
2024-11-18,4150,4165,4080,4140,10062
2024-11-19,4145,4245,4110,4110,16158
2024-11-20,4110,4150,4050,4120,9186
2024-11-21,4100,4105,4045,4070,10117
2024-11-22,4060,4200,4060,4110,22272
2024-11-25,4130,4250,4120,4205,17394
2024-11-26,4225,4240,4155,4230,9676
2024-11-27,4135,4345,4135,4345,37758
2024-11-28,4275,4370,4275,4350,14547
2024-11-29,4350,4350,4235,4245,8683
2024-12-02,4215,4225,4060,4150,17573
2024-12-03,4100,4210,4100,4190,11210
2024-12-04,4170,5000,4100,4675,1011571
2024-12-05,4555,4615,4410,4410,80124
2024-12-06,4375,4990,4375,4925,363468
2024-12-09,4980,5890,4980,5390,898730
2024-12-10,5380,6320,5300,6140,474498
2024-12-11,6390,7600,6220,7600,955550
2024-12-12,7330,7400,6590,6670,288597
2024-12-13,6730,7200,6420,6620,291555
2024-12-16,6850,6960,6220,6320,194079
2024-12-17,6690,6690,6100,6170,187313
2024-12-18,6100,6510,5590,6170,172217
2024-12-19,6070,6680,5470,6680,545156
2024-12-20,6830,6860,6100,6100,342019
2024-12-23,6100,6150,5840,5850,126220
2024-12-24,5810,6020,5550,5640,73855
2024-12-26,5660,5920,5630,5630,66541
2024-12-27,5620,5780,5350,5430,76037
2024-12-30,5380,5690,5350,5630,36736
2025-01-02,5800,6280,5770,6270,194142
2025-01-03,6300,6300,6070,6250,94348
2025-01-06,6180,6180,5830,5860,121608
2025-01-07,5860,5980,5810,5880,52678
2025-01-08,5880,6030,5840,5970,27189
2025-01-09,5920,6290,5910,6270,91098
2025-01-10,6220,6350,6130,6300,40351
2025-01-13,6200,6200,5830,6120,33476
2025-01-14,6060,6170,5910,6150,39773
2025-01-15,6160,6600,6120,6140,115049
2025-01-16,6480,6480,6110,6200,27199
2025-01-17,6300,7900,6150,7070,1600535
2025-01-20,7350,7970,7320,7540,1101850
2025-01-21,7400,7850,7300,7710,419498
2025-01-22,7700,7930,7510,7700,278220
2025-01-23,7740,8050,7160,7900,785065
2025-01-24,7570,7570,7300,7300,211252
2025-01-31,7300,7370,7050,7060,140103
2025-02-03,6960,7050,6700,6850,142308
2025-02-04,6870,7230,6870,7070,78876
2025-02-05,7070,7210,7040,7160,56865
2025-02-06,7160,7280,7010,7020,64846
2025-02-07,7020,7090,6640,6890,99344
2025-02-10,6900,6970,6780,6830,71892
2025-02-11,6870,7200,6830,7200,71867
2025-02-12,7200,7400,7090,7140,87099
2025-02-13,7130,7670,7100,7440,244280
2025-02-14,7440,7440,7230,7270,68067
2025-02-17,7180,7410,7120,7220,69911
2025-02-18,7200,7210,6980,7120,81565
2025-02-19,7120,7650,7080,7650,232729
2025-02-20,7650,7700,7410,7630,154653
2025-02-21,7590,7830,7260,7440,156845
2025-02-24,7400,7890,7260,7890,249162
2025-02-25,7910,8050,7770,7770,183846
2025-02-26,7810,7870,7390,7440,144531
2025-02-27,7600,7660,7300,7300,58252
2025-02-28,7160,7380,7000,7150,84093
2025-03-04,7110,7140,6710,6770,181640
2025-03-05,6770,7030,6720,6920,119357
2025-03-06,6990,6990,6720,6830,65059
2025-03-07,6770,7090,6100,6430,235266
2025-03-10,6250,6250,5850,6000,165619
2025-03-11,5720,5990,5700,5830,74416
2025-03-12,5850,6240,5830,6090,99115
2025-03-13,6100,6200,5930,6160,70427
2025-03-14,6160,6380,6040,6330,44398
2025-03-17,6330,6490,6210,6480,49564
2025-03-18,6550,6580,6240,6420,38441
2025-03-19,6420,6520,6160,6160,71968
2025-03-20,6120,6240,5830,5930,91410
2025-03-21,5810,5930,5660,5880,91145
2025-03-24,5830,5850,5650,5730,61657
2025-03-25,5730,5800,5630,5680,50630
2025-03-26,5650,6200,5620,6040,88226
2025-03-27,6140,6390,5900,6000,130096
2025-03-28,6000,6150,5620,5620,58158
2025-03-31,5490,5580,4865,4890,199534
2025-04-01,4890,5980,4785,5570,1330600
2025-04-02,5600,5700,5270,5500,208367
2025-04-03,5400,6580,5400,6190,1273237
2025-04-04,6220,8040,6010,8040,1854999
2025-04-07,10010,10450,9600,10450,2434029
2025-04-08,9790,11290,9700,10460,4885327
2025-04-09,10780,10800,9230,9890,1038289
2025-04-10,9450,10100,9290,9950,742783
2025-04-11,9770,9990,9270,9800,391727
2025-04-14,9380,9590,8800,9470,512186
2025-04-15,9530,9570,8680,9180,408892
2025-04-16,9180,9180,8430,8580,457119
2025-04-17,8320,8690,8140,8630,361937
2025-04-18,8560,9190,8210,9080,476282
2025-04-21,9300,9490,9060,9430,415610
2025-04-22,9500,9740,9090,9440,440348
2025-04-23,9260,9260,8170,8200,587191
2025-04-24,8200,8350,7390,7840,494195
2025-04-25,7800,7860,7440,7650,258947
2025-04-28,7500,7580,6810,6920,554692
2025-04-29,6920,7540,6860,7310,530373
2025-04-30,7310,7590,7160,7570,315881
2025-05-02,7310,7410,6820,7100,282773
2025-05-07,7300,7480,6580,7300,607461
2025-05-08,7420,7500,7110,7430,264240
2025-05-09,7370,7480,6930,7190,227017
2025-05-12,7210,8200,7210,7760,1522941
2025-05-13,7610,7630,7010,7520,524068
2025-05-14,7550,7560,7250,7410,236679
2025-05-15,7430,7430,6790,6810,392063
2025-05-16,6830,6880,6130,6480,627049
2025-05-19,6320,6360,5400,5460,759588
2025-05-20,5510,5600,5270,5530,344588
2025-05-21,5530,5740,5420,5640,237537
2025-05-22,5630,5940,5310,5650,654800
2025-05-23,5590,5760,5400,5450,184859
2025-05-26,5290,5290,4950,4975,468625
2025-05-27,4975,5200,4905,4930,266431
2025-05-28,4950,5090,4785,5090,243627
2025-05-29,5150,5410,5150,5340,291667
2025-05-30,5340,5340,5000,5060,182081
2025-06-02,5060,5330,4915,5230,217718
2025-06-04,5400,5400,5000,5330,178684
2025-06-05,5300,5970,5210,5730,1104533
2025-06-09,5810,5940,5470,5910,535004
2025-06-10,5990,6000,5720,5810,295568
2025-06-11,5810,5850,5610,5620,261084
2025-06-12,5630,5890,5500,5770,252104
2025-06-13,5770,5770,5250,5320,496765
2025-06-16,5340,5370,5110,5350,166439
2025-06-17,5350,5360,5130,5290,153930
2025-06-18,5210,5690,5190,5510,492335
2025-06-19,5520,5520,5370,5400,132215
2025-06-20,5400,5440,5240,5300,150896
2025-06-23,5270,5280,5110,5120,129154
2025-06-24,5190,5280,5170,5250,108335
2025-06-25,5340,5340,5160,5160,79870
2025-06-26,5160,5320,5080,5150,100764
2025-06-27,5170,5340,5080,5130,85467
2025-06-30,5130,5130,5020,5040,80048
2025-07-01,5040,5090,4950,4960,96046
2025-07-02,4925,4980,4820,4960,82851
2025-07-03,5020,5130,4940,5130,63067
2025-07-04,5110,5110,4995,5040,44560
2025-07-07,5040,5090,4960,4970,48014
2025-07-08,4920,5130,4920,5050,40522
2025-07-09,5000,5100,5000,5080,49523
2025-07-10,5080,5080,4985,5040,48199
2025-07-11,5030,5130,4980,5120,70303
2025-07-14,5120,5130,4955,4995,54293
2025-07-15,4955,4995,4855,4900,63271
2025-07-16,4860,4895,4825,4855,63617
2025-07-17,4855,4950,4830,4950,57514
2025-07-18,4950,4950,4830,4855,47863
2025-07-21,4890,5000,4820,4880,53464
2025-07-22,4880,4930,4805,4820,55296
2025-07-23,4850,4860,4620,4690,94101
2025-07-24,4690,4710,4615,4645,51180
2025-07-25,4605,4725,4580,4620,62231
2025-07-28,4620,4625,4505,4515,48716
2025-07-29,4515,4575,4475,4520,58120
2025-07-30,4520,4550,4475,4500,34400
2025-07-31,4480,4535,4435,4460,69153
2025-08-01,4430,4460,4230,4285,82486
2025-08-04,4285,4520,4225,4520,70064
2025-08-05,4795,4795,4300,4415,121763
2025-08-06,4340,4495,4340,4415,31230
2025-08-07,4400,4460,4365,4425,41093
2025-08-08,4465,4470,4315,4350,41908
2025-08-11,4450,4450,4310,4315,16040
2025-08-12,4310,4400,4270,4295,34996
2025-08-13,4310,4425,4295,4355,32268
2025-08-14,4355,4385,4310,4335,44574
2025-08-18,4355,4355,4200,4250,41089
2025-08-19,4160,4350,4150,4325,60226
2025-08-20,4290,4355,4160,4175,36350
2025-08-21,4215,4275,4160,4175,24901
2025-08-22,4180,4265,4150,4230,31110
2025-08-25,4310,4345,4250,4260,14440
2025-08-26,4205,4300,4190,4190,20306
2025-08-27,4250,4260,4145,4150,40684
2025-08-28,4150,4245,4140,4190,36822
2025-08-29,4150,4200,4050,4060,77924
2025-09-01,4060,4100,4000,4005,46448
2025-09-02,4005,4125,4005,4125,36849
2025-09-03,4130,4175,4060,4110,27059
2025-09-04,4130,4190,4090,4130,11107
2025-09-05,4170,4190,4105,4175,22335
2025-09-08,4175,4180,4090,4095,36097
2025-09-09,4105,4135,4040,4085,47951
2025-09-10,4085,4175,4075,4150,42315
2025-09-11,4160,4390,4150,4375,99275
2025-09-12,4365,4390,4290,4300,48418
